,Title,Author,Price,Genre
329,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,8,Non Fiction
330,The 5000 Year Leap,W. Cleon Skousen,12,Non Fiction
331,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,24,Non Fiction
332,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,24,Non Fiction
333,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,24,Non Fiction
334,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,24,Non Fiction
335,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,16,Non Fiction
336,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,16,Non Fiction
337,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,16,Non Fiction
338,The Alchemist,Paulo Coelho,39,Fiction
339,The Amateur,Edward Klein,9,Non Fiction
340,The Art of Racing in the Rain: A Novel,Garth Stein,10,Fiction
341,The Art of Racing in the Rain: A Novel,Garth Stein,10,Fiction
342,The Big Short: Inside the Doomsday Machine,Michael Lewis,17,Non Fiction
343,The Blood of Olympus (The Heroes of Olympus (5)),Rick Riordan,11,Fiction
344,The Blood Sugar Solution: The UltraHealthy Program for Losing Weight  Preventing Disease  and Feeling Great Now!,Mark Hyman M.D.,14,Non Fiction
345,The Body Keeps the Score: Brain  Mind  and Body in the Healing of Trauma,Bessel van der Kolk M.D.,12,Non Fiction
346,The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,53,Non Fiction
347,The Book Thief,Markus Zusak,6,Fiction
348,The Book Thief,Markus Zusak,6,Fiction
349,The Book with No Pictures,B. J. Novak,8,Fiction
350,The Book with No Pictures,B. J. Novak,8,Fiction
351,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,12,Non Fiction
352,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,12,Non Fiction
353,The Casual Vacancy,J.K. Rowling,12,Fiction
354,The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…,Thomas Campbell,21,Non Fiction
355,The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,6,Non Fiction
356,The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,6,Non Fiction
357,The Confession: A Novel,John Grisham,13,Fiction
358,The Constitution of the United States,Delegates of the Constitutional,0,Non Fiction
359,The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,11,Non Fiction
360,The Day the Crayons Quit,Drew Daywalt,9,Fiction
361,The Day the Crayons Quit,Drew Daywalt,9,Fiction
362,The Day the Crayons Quit,Drew Daywalt,9,Fiction
363,The Dukan Diet: 2 Steps to Lose the Weight  2 Steps to Keep It Off Forever,Pierre Dukan,15,Non Fiction
364,The Elegance of the Hedgehog,Muriel Barbery,11,Fiction
365,The Fault in Our Stars,John Green,13,Fiction
366,The Fault in Our Stars,John Green,13,Fiction
367,The Fault in Our Stars,John Green,7,Fiction
368,The Fault in Our Stars,John Green,13,Fiction
369,The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,6,Non Fiction
370,The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,6,Non Fiction
371,The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,6,Non Fiction
372,The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,6,Non Fiction
373,The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,6,Non Fiction
374,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,9,Non Fiction
375,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,6,Non Fiction
376,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,6,Non Fiction
377,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,6,Non Fiction
378,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,6,Non Fiction
379,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,6,Non Fiction
380,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,6,Non Fiction
381,The Getaway,Jeff Kinney,0,Fiction
382,The Girl on the Train,Paula Hawkins,18,Fiction
383,The Girl on the Train,Paula Hawkins,7,Fiction
384,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,14,Fiction
385,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,14,Fiction
386,The Girl Who Played with Fire (Millennium Series),Stieg Larsson,9,Fiction
387,The Girl Who Played with Fire (Millennium),Stieg Larsson,16,Fiction
388,The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,2,Fiction
389,The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,2,Fiction
390,The Going-To-Bed Book,Sandra Boynton,5,Fiction
391,The Going-To-Bed Book,Sandra Boynton,5,Fiction
392,The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,20,Fiction
393,The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,20,Fiction
394,The Great Gatsby,F. Scott Fitzgerald,7,Fiction
395,The Great Gatsby,F. Scott Fitzgerald,7,Fiction
396,The Great Gatsby,F. Scott Fitzgerald,7,Fiction
397,The Guardians: A Novel,John Grisham,14,Fiction
398,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,10,Fiction
399,The Handmaid's Tale,Margaret Atwood,7,Fiction
400,The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,13,Fiction
401,The Hate U Give,Angie Thomas,11,Fiction
402,The Help,Kathryn Stockett,6,Fiction
403,The Help,Kathryn Stockett,6,Fiction
404,The Help,Kathryn Stockett,8,Fiction
405,The Help,Kathryn Stockett,7,Fiction
406,The House of Hades (Heroes of Olympus  Book 4),Rick Riordan,14,Fiction
407,The Hunger Games,Suzanne Collins,14,Fiction
408,The Hunger Games (Book 1),Suzanne Collins,8,Fiction
409,The Hunger Games (Book 1),Suzanne Collins,8,Fiction
410,The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,30,Fiction
411,The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,30,Fiction
412,The Immortal Life of Henrietta Lacks,Rebecca Skloot,13,Non Fiction
413,The Immortal Life of Henrietta Lacks,Rebecca Skloot,9,Non Fiction
414,The Immortal Life of Henrietta Lacks,Rebecca Skloot,9,Non Fiction
415,The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,7,Non Fiction
416,The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,7,Non Fiction
417,The Last Lecture,Randy Pausch,9,Non Fiction
418,The Last Olympian (Percy Jackson and the Olympians  Book 5),Rick Riordan,7,Fiction
419,The Last Olympian (Percy Jackson and the Olympians  Book 5),Rick Riordan,7,Fiction
420,The Legend of Zelda: Hyrule Historia,Patrick Thorpe,20,Fiction
421,The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,13,Non Fiction
422,The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,13,Non Fiction
423,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,11,Non Fiction
424,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,11,Non Fiction
425,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,11,Non Fiction
426,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,11,Non Fiction
427,The Litigators,John Grisham,18,Fiction
428,The Lost Hero (Heroes of Olympus  Book 1),Rick Riordan,14,Fiction
429,The Lost Symbol,Dan Brown,19,Fiction
430,The Love Dare,Stephen Kendrick,13,Non Fiction
431,The Magnolia Story,Chip Gaines,5,Non Fiction
432,The Mark of Athena (Heroes of Olympus  Book 3),Rick Riordan,10,Fiction
433,The Martian,Andy Weir,9,Fiction
434,The Maze Runner (Book 1),James Dashner,8,Fiction
435,The Meltdown (Diary of a Wimpy Kid Book 13),Jeff Kinney,8,Fiction
436,The Mueller Report,The Washington Post,12,Non Fiction
437,The Nightingale: A Novel,Kristin Hannah,11,Fiction
438,The Nightingale: A Novel,Kristin Hannah,11,Fiction
439,The Official SAT Study Guide,The College Board,40,Non Fiction
440,The Official SAT Study Guide,The College Board,40,Non Fiction
441,The Official SAT Study Guide,The College Board,40,Non Fiction
442,The Official SAT Study Guide,The College Board,40,Non Fiction
443,The Official SAT Study Guide,The College Board,40,Non Fiction
444,The Official SAT Study Guide  2016 Edition (Official Study Guide for the New Sat),The College Board,36,Non Fiction
445,The Paris Wife: A Novel,Paula McLain,16,Fiction
446,The Pioneer Woman Cooks: A Year of Holidays: 140 Step-by-Step Recipes for Simple  Scrumptious Celebrations,Ree Drummond,17,Non Fiction
447,The Pioneer Woman Cooks: Dinnertime - Comfort Classics  Freezer Food  16-minute Meals  and Other Delicious Ways to Solve…,Ree Drummond,14,Non Fiction
448,The Pioneer Woman Cooks: Food from My Frontier,Ree Drummond,21,Non Fiction
449,The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight  Heal Your Gut  and Live Lectin-Free,Dr. Steven R Gundry MD,18,Non Fiction
450,"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain",Dr. Steven R Gundry MD,17,Non Fiction
451,The Pout-Pout Fish,Deborah Diesen,5,Fiction
452,The Pout-Pout Fish,Deborah Diesen,5,Fiction
453,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,21,Non Fiction
454,The President Is Missing: A Novel,James Patterson,18,Fiction
455,The Racketeer,John Grisham,18,Fiction
456,The Red Pyramid (The Kane Chronicles  Book 1),Rick Riordan,12,Fiction
457,The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek  Volume 2),F. A. Hayek,14,Non Fiction
458,The Serpent's Shadow (The Kane Chronicles  Book 3),Rick Riordan,12,Fiction
459,The Shack: Where Tragedy Confronts Eternity,William P. Young,8,Fiction
460,The Shack: Where Tragedy Confronts Eternity,William P. Young,8,Fiction
461,The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Stephenie Meyer,0,Fiction
462,The Silent Patient,Alex Michaelides,14,Fiction
463,The Son of Neptune (Heroes of Olympus  Book 2),Rick Riordan,10,Fiction
464,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,15,Non Fiction
465,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,15,Non Fiction
466,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,15,Non Fiction
467,The Sun and Her Flowers,Rupi Kaur,9,Non Fiction
468,The Third Wheel (Diary of a Wimpy Kid  Book 7),Jeff Kinney,7,Fiction
469,The Throne of Fire (The Kane Chronicles  Book 2),Rick Riordan,10,Fiction
470,The Time Traveler's Wife,Audrey Niffenegger,6,Fiction
471,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,9,Non Fiction
472,The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,Dave Ramsey,10,Non Fiction
473,The Twilight Saga Collection,Stephenie Meyer,82,Fiction
474,The Ugly Truth (Diary of a Wimpy Kid  Book 5),Jeff Kinney,12,Fiction
475,The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for…,Dinah Bucholz,10,Non Fiction
476,The Very Hungry Caterpillar,Eric Carle,5,Fiction
477,The Very Hungry Caterpillar,Eric Carle,5,Fiction
478,The Very Hungry Caterpillar,Eric Carle,5,Fiction
479,The Very Hungry Caterpillar,Eric Carle,5,Fiction
480,The Very Hungry Caterpillar,Eric Carle,5,Fiction
481,The Very Hungry Caterpillar,Eric Carle,5,Fiction
482,The Very Hungry Caterpillar,Eric Carle,5,Fiction
483,The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,16,Non Fiction
484,The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,16,Non Fiction
485,The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,16,Non Fiction
486,The Wonderful Things You Will Be,Emily Winfield Martin,10,Fiction
487,The Wonderful Things You Will Be,Emily Winfield Martin,10,Fiction
488,The Wonderful Things You Will Be,Emily Winfield Martin,10,Fiction
489,The Wonderful Things You Will Be,Emily Winfield Martin,10,Fiction
490,The Wonky Donkey,Craig Smith,4,Fiction
491,The Wonky Donkey,Craig Smith,4,Fiction
492,The Wright Brothers,David McCullough,16,Non Fiction
493,Things That Matter: Three Decades of Passions  Pastimes and Politics [Deckled Edge],Charles Krauthammer,15,Non Fiction
494,Thinking  Fast and Slow,Daniel Kahneman,19,Non Fiction
495,Thinking  Fast and Slow,Daniel Kahneman,19,Non Fiction
496,Thirteen Reasons Why,Jay Asher,9,Fiction
497,Thomas Jefferson: The Art of Power,Jon Meacham,23,Non Fiction
498,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,11,Non Fiction
499,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,11,Non Fiction
500,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,23,Non Fiction
501,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,23,Non Fiction
502,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,23,Non Fiction
503,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,23,Non Fiction
504,Tina Fey: Bossypants,Tina Fey,12,Non Fiction
505,To Kill a Mockingbird,Harper Lee,0,Fiction
506,To Kill a Mockingbird,Harper Lee,0,Fiction
507,To Kill a Mockingbird,Harper Lee,0,Fiction
508,To Kill a Mockingbird,Harper Lee,0,Fiction
509,To Kill a Mockingbird,Harper Lee,7,Fiction
510,Tools of Titans: The Tactics  Routines  and Habits of Billionaires  Icons  and World-Class Performers,Timothy Ferriss,21,Non Fiction
511,Towers of Midnight (Wheel of Time  Book Thirteen),Robert Jordan,21,Fiction
512,True Compass: A Memoir,Edward M. Kennedy,15,Non Fiction
513,Twilight (The Twilight Saga  Book 1),Stephenie Meyer,9,Fiction
514,Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,DK,5,Fiction
515,Unbroken: A World War II Story of Survival  Resilience  and Redemption,Laura Hillenbrand,16,Non Fiction
516,Unbroken: A World War II Story of Survival  Resilience  and Redemption,Laura Hillenbrand,16,Non Fiction
517,Unbroken: A World War II Story of Survival  Resilience  and Redemption,Laura Hillenbrand,16,Non Fiction
518,Unbroken: A World War II Story of Survival  Resilience  and Redemption,Laura Hillenbrand,13,Non Fiction
519,Unbroken: A World War II Story of Survival  Resilience  and Redemption,Laura Hillenbrand,16,Non Fiction
520,Under the Dome: A Novel,Stephen King,20,Fiction
521,Unfreedom of the Press,Mark R. Levin,11,Non Fiction
522,Unicorn Coloring Book: For Kids Ages 4-8 (US Edition) (Silly Bear Coloring Books),Silly Bear,4,Non Fiction
523,Uninvited: Living Loved When You Feel Less Than  Left Out  and Lonely,Lysa TerKeurst,9,Non Fiction
524,Watchmen,Alan Moore,42,Fiction
525,Water for Elephants: A Novel,Sara Gruen,12,Fiction
526,What Happened,Hillary Rodham Clinton,18,Non Fiction
527,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,17,Non Fiction
528,What Pet Should I Get? (Classic Seuss),Dr. Seuss,14,Fiction
529,What Should Danny Do? (The Power to Choose Series),Adir Levy,13,Fiction
530,What to Expect When You're Expecting,Heidi Murkoff,9,Non Fiction
531,Wheat Belly: Lose the Wheat  Lose the Weight  and Find Your Path Back to Health,William Davis,6,Non Fiction
532,Wheat Belly: Lose the Wheat  Lose the Weight  and Find Your Path Back to Health,William Davis,6,Non Fiction
533,When Breath Becomes Air,Paul Kalanithi,14,Non Fiction
534,Where the Crawdads Sing,Delia Owens,15,Fiction
535,Where the Wild Things Are,Maurice Sendak,13,Fiction
536,Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,The Staff of The Late Show with,12,Non Fiction
537,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,18,Non Fiction
538,Winter of the World: Book Two of the Century Trilogy,Ken Follett,15,Fiction
539,Women Food and God: An Unexpected Path to Almost Everything,Geneen Roth,11,Non Fiction
540,Wonder,R. J. Palacio,9,Fiction
541,Wonder,R. J. Palacio,9,Fiction
542,Wonder,R. J. Palacio,9,Fiction
543,Wonder,R. J. Palacio,9,Fiction
544,Wonder,R. J. Palacio,9,Fiction
545,Wrecking Ball (Diary of a Wimpy Kid Book 14),Jeff Kinney,8,Fiction
546,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,8,Non Fiction
547,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,8,Non Fiction
548,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,8,Non Fiction
549,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,8,Non Fiction
550,Fundamentals of Wavelets,Goswami  Jaideva,22,tech
551,Data Smart,Foreman  John,9,tech
552,God Created the Integers,Hawking  Stephen,19,tech
553,Superfreakonomics,Dubner  Stephen,10,science
554,Orientalism,Said  Edward,50,nonfiction
555,Nature of Statistical Learning Theory  The,Vapnik  Vladimir,16,tech
556,Integration of the Indian States,Menon  V P,28,nonfiction
557,Drunkard's Walk  The,Mlodinow  Leonard,20,science
558,Image Processing & Mathematical Morphology,Shih  Frank,31,tech
559,How to Think Like Sherlock Holmes,Konnikova  Maria,48,nonfiction
560,Data Scientists at Work,Sebastian Gutierrez,31,tech
561,Slaughterhouse Five,Vonnegut  Kurt,30,fiction
562,Birth of a Theorem,Villani  Cedric,50,science
563,Structure & Interpretation of Computer Programs,Sussman  Gerald,19,tech
564,Age of Wrath  The,Eraly  Abraham,20,nonfiction
565,Trial  The,Kafka  Frank,20,fiction
566,Statistical Decision Theory',Pratt  John,43,tech
567,Data Mining Handbook,Nisbet  Robert,35,tech
568,New Machiavelli  The,Wells  H. G.,42,fiction
569,Physics & Philosophy,Heisenberg  Werner,31,philosophy
570,Making Software,Oram  Andy,11,tech
571,Analysis  Vol I,Tao  Terence,12,tech
572,Machine Learning for Hackers,Conway  Drew,5,tech
573,Signal and the Noise  The,Silver  Nate,6,tech
574,Python for Data Analysis,McKinney  Wes,42,tech
575,Introduction to Algorithms,Cormen  Thomas,22,tech
576,Beautiful and the Damned  The,Deb  Siddhartha,41,nonfiction
577,Outsider  The,Camus  Albert,43,fiction
578,Complete Sherlock Holmes  The - Vol I,Doyle  Arthur Conan,42,fiction
579,Complete Sherlock Holmes  The - Vol II,Doyle  Arthur Conan,23,fiction
580,Wealth of Nations  The,Smith  Adam,45,science
581,Pillars of the Earth  The,Follett  Ken,40,fiction
582,Mein Kampf,Hitler  Adolf,23,nonfiction
583,Tao of Physics  The,Capra  Fritjof,47,science
584,Surely You're Joking Mr Feynman,Feynman  Richard,38,science
585,Farewell to Arms  A,Hemingway  Ernest,16,fiction
586,Veteran  The,Forsyth  Frederick,31,fiction
587,False Impressions,Archer  Jeffery,26,fiction
588,Last Lecture  The,Pausch  Randy,39,nonfiction
589,Return of the Primitive,Rand  Ayn,25,philosophy
590,Jurassic Park,Crichton  Michael,33,fiction
591,Russian Journal  A,Steinbeck  John,34,nonfiction
592,Tales of Mystery and Imagination,Poe  Edgar Allen,50,fiction
593,Freakonomics,Dubner  Stephen,5,science
594,Hidden Connections  The,Capra  Fritjof,35,science
595,Story of Philosophy  The,Durant  Will,38,philosophy
596,Asami Asami,Deshpande  P L,41,fiction
597,Journal of a Novel,Steinbeck  John,48,fiction
598,Once There Was a War,Steinbeck  John,10,nonfiction
599,Moon is Down  The,Steinbeck  John,23,fiction
600,Brethren  The,Grisham  John,36,fiction
601,In a Free State,Naipaul  V. S.,43,fiction
602,Catch 22,Heller  Joseph,10,fiction
603,Complete Mastermind  The,BBC,10,nonfiction
604,Dylan on Dylan,Dylan  Bob,32,nonfiction
605,Soft Computing & Intelligent Systems,Gupta  Madan,22,tech
606,Textbook of Economic Theory,Stonier  Alfred,10,tech
607,Econometric Analysis,Greene  W. H.,28,tech
608,Learning OpenCV,Bradsky  Gary,22,tech
609,Data Structures Using C & C++,Tanenbaum  Andrew,32,tech
610,Computer Vision  A Modern Approach,Forsyth  David,5,tech
611,Principles of Communication Systems,Taub  Schilling,10,tech
612,Let Us C,Kanetkar  Yashwant,24,tech
613,Amulet of Samarkand  The,Stroud  Jonathan,18,fiction
614,Crime and Punishment,Dostoevsky  Fyodor,46,fiction
615,Angels & Demons,Brown  Dan,27,fiction
616,Argumentative Indian  The,Sen  Amartya,32,nonfiction
617,Sea of Poppies,Ghosh  Amitav,40,fiction
618,Idea of Justice  The,Sen  Amartya,10,philosophy
619,Raisin in the Sun  A,Hansberry  Lorraine,11,fiction
620,All the President's Men,Woodward  Bob,27,nonfiction
621,Prisoner of Birth  A,Archer  Jeffery,13,fiction
622,Scoop!,Nayar  Kuldip,46,nonfiction
623,Ahe Manohar Tari,Deshpande  Sunita,34,nonfiction
624,Last Mughal  The,Dalrymple  William,39,nonfiction
625,Social Choice & Welfare  Vol 39 No. 1,Various,32,tech
626,Radiowaril Bhashane & Shrutika,Deshpande  P L,12,nonfiction
627,Gun Gayin Awadi,Deshpande  P L,21,nonfiction
628,Aghal Paghal,Deshpande  P L,27,nonfiction
629,Maqta-e-Ghalib,Garg  Sanjay,27,nonfiction
631,Manasa,Kale  V P,48,nonfiction
632,India from Midnight to Milennium,Tharoor  Shashi,41,nonfiction
634,Great Indian Novel  The,Tharoor  Shashi,45,fiction
635,O Jerusalem!,Lapierre  Dominique,50,nonfiction
636,City of Joy  The,Lapierre  Dominique,21,fiction
637,Freedom at Midnight,Lapierre  Dominique,9,nonfiction
638,Winter of Our Discontent  The,Steinbeck  John,27,fiction
639,On Education,Russell  Bertrand,14,philosophy
640,Free Will,Harris  Sam,10,nonfiction
641,Bookless in Baghdad,Tharoor  Shashi,49,nonfiction
642,Case of the Lame Canary  The,Gardner  Earle Stanley,19,fiction
643,Theory of Everything  The,Hawking  Stephen,26,science
644,New Markets & Other Essays,Drucker  Peter,17,science
645,Electric Universe,Bodanis  David,17,science
646,Hunchback of Notre Dame  The,Hugo  Victor,28,fiction
647,Burning Bright,Steinbeck  John,35,fiction
648,Age of Discontuinity  The,Drucker  Peter,43,nonfiction
649,Doctor in the Nude,Gordon  Richard,50,fiction
650,Down and Out in Paris & London,Orwell  George,17,nonfiction
651,Identity & Violence,Sen  Amartya,41,philosophy
652,Beyond the Three Seas,Dalrymple  William,45,nonfiction
654,Talking Straight,Iacoca  Lee,32,nonfiction
655,Maugham's Collected Short Stories  Vol 3,Maugham  William S,46,fiction
656,Phantom of Manhattan  The,Forsyth  Frederick,47,fiction
657,Ashenden of The British Agent,Maugham  William S,5,fiction
658,Zen & The Art of Motorcycle Maintenance,Pirsig  Robert,43,philosophy
659,Great War for Civilization  The,Fisk  Robert,27,nonfiction
660,We the Living,Rand  Ayn,42,fiction
661,Artist and the Mathematician  The,Aczel  Amir,5,science
662,History of Western Philosophy,Russell  Bertrand,48,philosophy
664,Rationality & Freedom,Sen  Amartya,18,science
665,Clash of Civilizations and Remaking of the World Order,Huntington  Samuel,36,nonfiction
666,Uncommon Wisdom,Capra  Fritjof,40,nonfiction
667,One,Bach  Richard,16,nonfiction
669,To Sir With Love,Braithwaite,13,fiction
670,Half A Life,Naipaul  V S,15,fiction
671,Discovery of India  The,Nehru  Jawaharlal,26,nonfiction
672,Apulki,Deshpande  P L,37,nonfiction
673,Unpopular Essays,Russell  Bertrand,45,philosophy
674,Deceiver  The,Forsyth  Frederick,50,fiction
675,Veil: Secret Wars of the CIA,Woodward  Bob,46,nonfiction
676,Char Shabda,Deshpande  P L,46,nonfiction
677,Rosy is My Relative,Durrell  Gerald,18,fiction
678,Moon and Sixpence  The,Maugham  William S,28,fiction
680,Short History of the World  A,Wells  H G,41,nonfiction
681,Trembling of a Leaf  The,Maugham  William S,10,fiction
682,Doctor on the Brain,Gordon  Richard,49,fiction
683,Simpsons & Their Mathematical Secrets,Singh  Simon,19,science
684,Pattern Classification,Duda  Hart,43,tech
685,From Beirut to Jerusalem,Friedman  Thomas,50,nonfiction
686,Code Book  The,Singh  Simon,9,science
687,Age of the Warrior  The,Fisk  Robert,8,nonfiction
693,Numbers Behind Numb3rs  The,Devlin  Keith,15,science
701,Life in Letters  A,Steinbeck  John,45,nonfiction
702,Information  The,Gleick  James,41,science
704,Elements of Information Theory,Thomas  Joy,43,tech
705,Power Electronics - Rashid,Rashid  Muhammad,22,tech
706,Power Electronics - Mohan,Mohan  Ned,21,tech
707,Neural Networks,Haykin  Simon,18,tech
708,Grapes of Wrath  The,Steinbeck  John,29,fiction
709,Vyakti ani Valli,Deshpande  P L,7,nonfiction
710,Statistical Learning Theory,Vapnik  Vladimir,44,tech
711,Empire of the Mughal - The Tainted Throne,Rutherford  Alex,30,nonfiction
712,Empire of the Mughal - Brothers at War,Rutherford  Alex,27,nonfiction
713,Empire of the Mughal - Ruler of the World,Rutherford  Alex,47,nonfiction
714,Empire of the Mughal - The Serpent's Tooth,Rutherford  Alex,16,nonfiction
715,Empire of the Mughal - Raiders from the North,Rutherford  Alex,26,nonfiction
716,Mossad,Baz-Zohar  Michael,17,nonfiction
717,Jim Corbett Omnibus,Corbett  Jim,19,nonfiction
718,20000 Leagues Under the Sea,Verne  Jules,37,fiction
719,Batatyachi Chal,Deshpande P L,13,fiction
720,Hafasavnuk,Deshpande P L,33,fiction
721,Urlasurla,Deshpande P L,50,fiction
722,Pointers in C,Kanetkar  Yashwant,48,tech
723,Cathedral and the Bazaar  The,Raymond  Eric,36,tech
724,Design with OpAmps,Franco  Sergio,31,tech
725,Think Complexity,Downey  Allen,29,tech
726,Devil's Advocate  The,West  Morris,10,fiction
727,Ayn Rand Answers,Rand  Ayn,12,philosophy
728,Philosophy: Who Needs It,Rand  Ayn,21,philosophy
730,Data Analysis with Open Source Tools,Janert  Phillip,7,tech
731,Broca's Brain,Sagan  Carl,18,science
732,Men of Mathematics,Bell  E T,16,science
733,Oxford book of Modern Science Writing,Dawkins  Richard,45,science
734,Justice  Judiciary and Democracy,Ranjan  Sudhanshu,13,nonfiction
735,Arthashastra  The,Kautiyla,29,philosophy
736,We the People,Palkhivala,24,philosophy
737,We the Nation,Palkhivala,47,philosophy
738,Courtroom Genius  The,Sorabjee,31,nonfiction
739,Dongri to Dubai,Zaidi  Hussain,45,nonfiction
740,History of England  Foundation,Ackroyd  Peter,15,nonfiction
741,City of Djinns,Dalrymple  William,6,nonfiction
742,India's Legal System,Nariman,21,nonfiction
743,More Tears to Cry,Sassoon  Jean,20,fiction
744,Ropemaker  The,Dickinson  Peter,18,fiction
745,Angels & Demons,Brown  Dan,41,fiction
748,Prince  The,Machiavelli,47,fiction
